month,day,year,day_of_year,date,zone,type_of_site,site number1,number_of_visit,site,Latitude,Longitude,Elevation,Net_open,Net_close,Rain_time,Net_no,Temperature,Wind,Cloud,Bander_ID,Band,Species,Sex,Plumage,Beak_length,Beak_depth,Beak_width,Head_length,Head_depth,Head_width,Tarsus,Wing,Mass,Pox_IUR,Pox_scale,pox_size_lesion,Fecal,Philornis,Slide,Swab,Feather,Blood,Recaptured,Notes,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,SM,SM1306,PAL,U,0,11.76,8.65,7.42,NA,NA,NA,22.14,70,21.77,U,NA,NA,0,A,0,1,0,1,0,,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,SM,SM238,FUL,M,3,8.49,7.92,7.35,NA,NA,NA,18.06,61.5,15.27,U,NA,NA,1,A,0,1,0,0,0,,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,DL,SM239,PAR,M,4,7.33,7.15,5.35,NA,NA,NA,19.65,65,14.28,U,NA,NA,1,A,0,1,0,0,0,,,,
3,19,2022,78,19-Mar-22,Santa Rosa,Bosque,1,1,Los Gemelos,-0.6238065,-90.3845436,610,6:20,8:30,0:00,3,NA,NA,Partly cloudy,DL,SM240,OLI,F,0,7.51,4.06,3.37,NA,NA,NA,17.28,52,14.53,U,NA,NA,1,A,0,1,0,1,0,missing 2 nails,uropygial,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM241,FUL,M,5,8.27,7.03,6.36,NA,NA,NA,17.19,62,14.98,R,NA,NA,0,A,0,0,0,1,0,uropygial,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM242,FUL,M,1,8.82,7.19,6.16,NA,NA,NA,17.27,64,14.59,U,NA,NA,0,A,0,0,0,0,0,,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM243,FUL,U,0,8.95,7.42,6.61,NA,NA,NA,16.01,60,14.18,U,NA,NA,1,A,0,0,0,1,0,uropygial,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM1307,PAL,M,NA,12.03,8.59,7.62,NA,NA,NA,21.7,70,21.84,U,NA,NA,0,A,1,0,0,1,0,uropygial,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM1308,PAL,M,NA,12.51,8.47,7.78,NA,NA,NA,21.53,70,20.41,U,NA,NA,1,A,0,0,0,1,0,uropygial,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM244,PAR,F,0,7.36,6.48,6.09,NA,NA,NA,16.84,61,12.85,R,NA,NA,0,A,0,1,0,1,0,uropygial,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM1309,PAL,F,NA,11.04,8.07,7.22,NA,NA,NA,20.85,69,21.63,U,NA,NA,0,A,0,0,0,1,0,slightly enlarged naris,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,SM,SM1310,PAL,U,NA,11.48,8.24,7.63,NA,NA,NA,21.32,71,20.98,U,NA,NA,0,B,0,0,0,1,0,uropygial,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM245,PAR,M,2,8.55,7.24,6.65,NA,NA,NA,18.92,64,12.65,U,NA,NA,0,A,0,0,0,0,0,,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,IG,SM246,FUL,M,5,9,7.2,6.32,NA,NA,NA,17.74,63,12.97,U,NA,NA,1,A,0,0,0,1,0,uropygial,,,
3,20,2022,79,20-Mar-22,Santa Rosa,Bosque,2,1,Los Manzanillos,-0.6990964,-90.40245,160,6:30,8:45,0:00,3,23.5,0,Partly cloudy,SM,SM1311,PSI,M,4,9.27,9.69,8.2,NA,NA,NA,19.68,71,17.8,U,NA,NA,1,A,0,0,0,1,0,,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM247,PET,M,NA,8.87,3.51,4.27,NA,NA,NA,19.16,65,11.9,U,NA,NA,0,A,0,1,0,1,0,uropygial,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM248,FUL,M,3,8.53,7.3,6.07,NA,NA,NA,17.59,61,13.07,U,NA,NA,1,A,0,1,0,1,0,missing nail,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM249,FUL,M,5,8.3,7.58,7.16,NA,NA,NA,17.83,62,13.16,R,NA,NA,1,A,0,0,0,1,0,,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,DC785,GAMO,F,NA,14.16,NA,NA,NA,NA,NA,34.39,108,44.72,U,NA,NA,1,B,0,1,0,1,0,brood patch,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM250,FUL,F,0,8.46,7.15,6.34,NA,NA,NA,16.12,57,13.74,U,NA,NA,1,A,0,1,0,1,0,,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM251,PET,M,NA,8.95,3.33,4.79,NA,NA,NA,18.84,65,12.59,U,NA,NA,1,A,0,1,0,1,0,uropygial,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM252,PAR,M,5,7.5,6.97,6.4,NA,NA,NA,17.91,61,12.5,R,NA,NA,1,B,0,1,0,1,0,no patch,uropygial,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM253,FUL,U,0,8.63,6.89,6.63,NA,NA,NA,16.71,59,11.6,R,NA,NA,1,A,0,1,0,1,0,,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM254,FUL,M,5,9.5,7.63,6.36,NA,NA,NA,15.75,65,13.56,U,NA,NA,1,B,0,1,0,1,0,uropygial,missing 1 toe,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM255,FOR,F,0,12.86,12.47,9.96,NA,NA,NA,17.37,67,18.74,I,A,1.66,1,A,0,1,0,0,0,,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM256,MYI,U,NA,11.26,NA,NA,NA,NA,NA,18.99,69,12.97,U,NA,NA,0,A,0,0,0,0,0,flew away,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM257,FUL,F,0,8.92,7.55,6.64,NA,NA,NA,NA,NA,15.18,U,NA,NA,1,NA,0,0,0,1,0,brood patch,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM258,PET,F,NA,9.61,3.32,4.48,NA,NA,NA,17.64,64,12.18,U,NA,NA,1,A,0,1,0,1,0,uropygial,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM1312,FOR,F,0,10.29,11.3,8.23,NA,NA,NA,16.9,69,17.53,U,NA,NA,1,A,0,1,0,1,0,uropygial,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM1313,PSI,F,0,9.93,9.22,7.07,NA,NA,NA,19.31,64,16.5,U,NA,NA,1,A,0,1,0,1,0,,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,IG,SM261,FUL,M,2,9.45,7.78,6.13,NA,NA,NA,17.64,64,14.86,R,NA,NA,1,A,0,1,0,1,0,no brood patch,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM262,PAR,U,0,7.7,7.2,6.24,NA,NA,NA,19.6,58,12.93,U,NA,NA,1,A,0,1,0,1,0,brood patch,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM263,PAR,F,0,7.36,6.62,6.16,NA,NA,NA,15.52,61,11.79,U,NA,NA,1,A,0,1,0,0,0,,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM264,MYI,U,NA,11.15,NA,NA,NA,NA,NA,18.57,70,12.81,U,NA,NA,1,A,0,0,0,0,0,wet,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM1314,FOR,U,NA,12.75,13.18,11,NA,NA,NA,19.9,76,25.5,R,NA,NA,1,0,0,0,0,1,0,brood patch,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM265,FUL,U,0,8.46,7.95,6.76,NA,NA,NA,17.47,56,15.09,U,NA,NA,1,A,0,1,0,1,0,brood patch,uro?,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM266,FUL,F,0,8.16,6.88,6.04,NA,NA,NA,17.1,59,14.28,U,NA,NA,1,A,0,1,0,0,0,,,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM267,MYI,U,NA,11.04,NA,NA,NA,NA,NA,19.23,64,11.89,U,NA,NA,1,A,0,0,0,0,0,brood patch,uro?,,
3,21,2022,80,21-Mar-22,Occidente,Agricola,3,1,Kelvin Gaona,-0.7124518,-90.3583274,120,6:20,9:15,0:20,3,27.2,0,Overcast,SM,SM268,PET,F,NA,9.12,NA,NA,NA,NA,NA,18.79,61,11.09,U,NA,NA,1,A,0,0,0,1,0,brood patch,calipers damaged,,
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,6:20,9:30,0:00,3,25.1,0,Overcast,IG,SM269,FUL,F,0,9,7.5,6,NA,NA,NA,17,62,14.95,U,NA,NA,1,A,0,1,0,1,0,calipers damaged,,,
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,6:20,9:30,0:00,3,25.1,0,Overcast,IG,SM270,PET,F,NA,9,NA,NA,NA,NA,NA,18,60,13.24,U,NA,NA,1,A,0,1,0,1,0,calipers damaged,,,
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,6:20,9:30,0:00,3,25.1,0,Overcast,YT,SM271,PET,M,NA,19,NA,NA,NA,NA,NA,21,64,13.12,U,NA,NA,0,A,0,1,0,1,0,one naris larger than other,calipers damaged,,
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,6:20,9:30,0:00,3,25.1,0,Overcast,YT,SM272,FUL,M,5,9,8,7,NA,NA,NA,22,62,13.5,R,NA,NA,1,B,0,1,0,1,0,calipers damaged,,,
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,6:20,9:30,0:00,3,25.1,0,Overcast,YT,SM273,FUL,F,0,8,7,6,NA,NA,NA,22,59,13.3,U,NA,NA,1,A,0,1,0,0,0,brood patch,calipers damaged,,
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,6:20,9:30,0:00,3,25.1,0,Overcast,YT,SM274,MYI,F,0,11,NA,NA,NA,NA,NA,24,NA,13.24,U,NA,NA,0,B,0,1,0,1,0,one naris larger than other,brood patch,calipers damaged,
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,6:20,9:30,0:00,3,25.1,0,Overcast,YT,SM275,MYI,F,0,11,NA,NA,NA,NA,NA,23,65,12.17,U,NA,NA,1,B,0,1,0,1,0,missing toe,calipers damaged,,
3,22,2022,81,22-Mar-22,Cascajo,Agricola,4,1,Rosa Calva,-0.6731258,-90.2631579,240,6:20,9:30,0:00,3,25.1,0,Overcast,IG,SM276,FUL,M,1,10,7,6,NA,NA,NA,18,61,15.92,R,NA,NA,0,A,0,1,0,1,0,one naris larger than other,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,YT,SM277,FUL,M,4,9.17,7.2,7.44,NA,NA,NA,23.29,65,13.4,R,NA,NA,1,B,0,1,0,1,0,,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,YT,SM278,FUL,M,3,8.06,7.5,7.51,NA,NA,NA,21.09,63,13.18,U,NA,NA,1,B,0,1,0,1,0,,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,NA,NA,GALLARETA,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.5,U,NA,NA,1,NA,0,0,0,1,0,one naris larger than other,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,YT,NA,FUL,F,0,9.14,7.73,6.74,NA,NA,NA,22.18,60,17.07,U,NA,NA,1,B,0,1,0,1,0,,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,YT,SM279,FUL,M,5,8.64,7.95,7.45,NA,NA,NA,21.55,62,15.67,U,NA,NA,1,B,0,1,0,1,0,swollen toe,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,YT,SM280,FUL,M,5,9.02,7.5,7.02,NA,NA,NA,20.67,62,14.6,R,NA,NA,1,B,0,1,0,1,0,,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,DL,SM281,FUL,M,4,7.67,7.46,5.57,NA,NA,NA,17.9,64,13.97,U,NA,NA,1,A,0,1,0,1,0,,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,DL,SM282,FUL,F,0,7.74,7.02,5.05,NA,NA,NA,16.77,58,13.91,R,NA,NA,1,B,0,1,0,1,0,,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,SM,SM283,PET,F,0,8.59,NA,NA,NA,NA,NA,17.46,68,11.5,U,NA,NA,1,A,0,1,0,1,0,,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,SM,SM284,FUL,M,2,9.6,7.65,8.59,NA,NA,NA,15.87,61,14.88,U,NA,NA,1,A,0,0,0,1,0,no brood patch,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,SM,SM285,FUL,U,0,8.79,7.35,6.46,NA,NA,NA,16.95,57,13.4,U,NA,NA,1,A,0,1,0,1,0,no CP,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,DL,SM1315,FOR,M,5,11.02,10.3,7.85,NA,NA,NA,20.27,71,21.64,U,NA,NA,1,A,0,1,0,0,0,no brood patch,,,
3,24,2022,83,24-Mar-22,Santa Rosa,Agricola,5,1,Carmen Ramon,-0.6552219,-90.4075372,390,6:20,9:30,0:00,3,24,0,Overcast,SM,SM286,PET,F,NA,8.75,NA,NA,NA,NA,NA,18.46,58.5,12.1,U,NA,NA,1,A,0,0,0,1,0,missing 1 toe on one foot and 2 toes on other foot,,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM287,FUL,M,5,8.19,7.14,6.19,NA,NA,NA,18.22,62,15.41,R,NA,NA,1,A,0,1,0,1,0,cloacal protuberance,1 deformed naris,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM1316,PAL,M,NA,11.41,7.85,6.95,NA,NA,NA,18.25,69,21.22,U,NA,NA,0,B,0,1,0,1,0,brood patch,,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM288,PAR,F,NA,7.3,6.76,5.89,NA,NA,NA,16.89,61,11.36,R,NA,NA,0,A,0,1,0,1,0,,,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM289,PET,M,NA,9.15,NA,NA,NA,NA,NA,18.46,66,11.97,U,NA,NA,1,A,0,1,0,1,0,,,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM290,FUL,M,5,8.4,7.21,5.17,NA,NA,NA,15.88,59,11.58,R,NA,NA,1,B,0,1,0,0,0,,,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM291,PET,F,NA,9.9,NA,NA,NA,NA,NA,17.12,62,12.85,U,NA,NA,1,A,0,1,0,1,0,brood patch,,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM292,PET,F,NA,9.01,NA,NA,NA,NA,NA,17.94,61,12.23,U,NA,NA,0,A,0,1,0,1,0,,,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM293,PET,M,NA,9.3,NA,NA,NA,NA,NA,19.01,66,13.13,U,NA,NA,0,A,0,1,0,1,0,,,,
3,25,2022,84,25-Mar-22,Occidente,Agricola,6,1,Mario Piu,-0.7025606,-90.3538699,170,6:30,9:30,0:00,4,23.1,0,Clear,IG,SM294,PAR,M,1,7.08,6.77,5.8,NA,NA,NA,17.07,60,11.98,U,NA,NA,1,A,0,1,0,1,0,,,,
